Author,Comment,Clean_Comment
@gubby_officilal,"Anjeun Rama sawarga Lumpat ti Kasalahan kuring dina ngalakukeun bela diri Di lathi

Versi sundanya ges",anjeun rama sawarga lumpat ti kasalahan kuring dina ngalakukeun bela diri di lathi versi sundanya ges
@evelynearhiandi3947,"Gua like²in semua komen yg gua liat biar trending,gila sih keren bgt",gua likein semua komen yang gua liat biar trendinggila sih keren banget
@HilalNurfadilah,This is next level local pride🇮🇩,this is next level local pride
@putunovi1300,"Me: How to stop listening? 

Lathi : you have no way out brooooooh",me how to stop listening lathi you have no way out brooooooh
@mega.raharjo,1 oktober 2025 hadir,oktober hadir
@blackpanther4139,"Ziggi zagga : *look i am a masterpiece 
WG : hold my wayang..",ziggi zagga look i am a masterpiece wg hold my wayang
@HajarInfo,"Sinden : ""Mas aku pengen nyinden pake party.""
WG : ""Gass. Loss ga pake lama.""",sinden mas aku pengen nyinden pake party wg gass loss tidak pake lama
@hermadiny4563,wow  the universe should know this masterpiece exists,wow the universe should know this masterpiece exists
@tuturirayiugihayati7632,"Udah dengerin berkali² tetep aja merinding

Piye ngene iki?? Jan apike",udah dengerin berkali tetep saja merinding piye ngene iki jan apike
@dimasrhamandhaprhathama3242,"SUMPAH BERKUALITAS DONG....
And i just say THIS IS INDONESIAN STYLE.....!!!!!",sumpah berkualitas dong and i just say this is indonesian style
@chic1tooo923,am I the only one who get goosebump every time the song is drop ?! Like wtf? this song is so fckn great !!,am i the only one who get goosebump every time the song is drop like wtf this song is so fckn great
@WLAZHE,"well guys actuallyyy this music video has been on top of my list but i didn't open it. Cuz i dont know who is it(group or single). And every single i watched some video and there's always been""kak react lathi dong react lathi dong"" and i was like who is it? Cuz i never heard that name. And today i saw a video and i read it again ""lathi dong kak react lathi"" and i feel okay i should find it. AND NOW THIS IS THE TIMEEEEEEEEEE WAWWWWW even i dont understand what is song about i feel amazed cuz there's indonesian culture ( jaipong tune?) if im not mistaken. As an indonesian and half javenese from my mom im so proudddd even i dont know who is weird genius or wg but again you guys are rock! Nailed it!!! Trendingkan gaesssss tembus 10jt🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩",well guys actuallyyy this music video has been on top of my list but i didnt open it cuz i dont know who is itgroup or single and every single i watched some video and theres always beenkak react lathi dong react lathi dong and i was like who is it cuz i never heard that name and today i saw a video and i read it again lathi dong kak react lathi and i feel okay i should find it and now this is the timeeeeeeeeee wa even i dont understand what is song about i feel amazed cuz theres indonesian culture jaipong tune if im not mistaken as an indonesian and half javenese from my mom im so proudddd even i dont know who is weird genius or wg but again you guys are rock nailed it trendingkan gaesssss tembus jt
@farahidris5808,THIS MUSIC DESERVE MOREEEEE,this music deserve moreeeee
@hildaindria4859,Jd teringat wkt covid,jd teringat wkt covid
@mfr0162,"Can we all Imagine if this song is the Official Theme Song for any International Events that held in Indonesia? I mean, i imagine if Miss Universe held in indonesia",can we all imagine if this song is the official theme song for any international events that held in indonesia i mean i imagine if miss universe held in indonesia
@mnfa8562,"sinden : mas aku pengen nyinden
tapi karo party
mas : wes",sinden mas aku pengen nyinden tapi karo party mas wes
@arf_gsx_q1021,"Ko, Gw Merinding Ya Dengerin musik Nya 


Tapi ini mah keren abisss budayakan Indonesia ta, di sangka mengejutkan",ko gw merinding ya dengerin musik nya tapi ini mah keren abisss budayakan indonesia ta di sangka mengejutkan
