Ngram,Count
sampe sekarang,2
song made,2
ini bagus,2
ini dia,2
hold my,2
hope you,2
how many,2
how to,2
im crying,2
im here,2
im so,2
imagine if,2
in august,2
in indonesia,2
indonesia bagus,2
indonesia di,2
indonesian am,2
indonesian culture this,2
inggris jawa,2
as know,2
to be an,2
to be honest,2
to go,2
to international,2
to the,2
to this song,2
traditional music,2
trending indonesia,2
heard it,2
held in,2
held in indonesia,2
heran kenapa,2
here after,2
at the,2
here because,2
here in,2
harus anda,2
harus anda ketahui,2
harus banget,2
tik tok,2
song on tiktok,2
song so much,2
song the,2
star part,2
star part kowe,2
say this,2
saya begitu,2
saya begitu dingin,2
sebagai orang bodoh,2
sejak tahap,2
sejak tahap pertama,2
sekeren ini,2
after long time,2
again the,2
waiting for,2
waiting for your,2
from indonesian,2
from philippines,2
from suicide,2
from suicide squad,2
gini tidak,2
aura edm,2
gives me,2
go international and,2
gua liat,2
gua tidak,2
gw dengerin,2
harga diri terletak,2
should know java,2
awesome song,2
first heard this,2
for bringing,2
for making,2
for something,2
for something we,2
for the likes,2
for your,2
trending trending,2
udah tahun tapi,2
ur voice,2
very good,2
very very,2
video ini,2
vocals the,2
fifa world,2
fifa world cup,2
first heard,2
seluruh dunia,2
semacam ini,2
semua aturan,2
semua kebenaran,2
semua komen,2
semuanya telah,2
semuanya telah berubah,2
semuanya terjadi,2
semuanya terjadi karena,2
seperti ini,2
seseorang ada,2
sesuatu yang kita,2
setelah tahun,2
dong and,2
dont know,2
dont know who,2
was so shock,2
was western,2
was western song,2
we proud,2
we proud of,2
after long,2
western song,2
easy listening,2
enchantress from,2
even dont,2
far as,2
far as know,2
feel the,2
denger lagu ini,2
denger saja,2
dengerin ini,2
di lidah,2
di lidah katakata,2
di tahun,2
di tiktok,2
dingin dan tidak,2
bagian kowe,2
diri saya,2
diri saya begitu,2
diri seseorang,2
diri seseorang ada,2
diri terletak,2
diri terletak di,2
dislike rb,2
bahasa jawa,2
dan semua,2
dan semua yang,2
dan tak,2
dan tidak berperasaan,2
dan yang,2
dari dulu,2
dari indonesia,2
dari kata,2
dari kata keren,2
dari kesalahan anda,2
dari malaysia,2
dengan lagu,2
dengan lagu ini,2
denger dan,2
denger lagu,2
when she,2
while listening,2
while listening to,2
with modern,2
with this song,2
wong jowo like,2
world cup,2
ada lawan,2
would be,2
culture this,2
damn it,2
dan bahasa,2
dan di,2
dan kutukan,2
bahasa inggris,2
bahasa inggris dan,2
yang tak terhitung,2
yang dari,2
yang sangat,2
yang gak,2
yang harus anda,2
been so,2
bener bener,2
berkata apa,2
berperasaan tetapi,2
berperasaan tetapi satu,2
yang lalu,2
yang masih setia,2
yang nonton,2
yang tak,2
can go,2
can go international,2
came from,2
baru kali ini,2
baru sadar,2
be an,2
be an indonesian,2
bikin lagu,2
bisa berkata,2
bisa berkata apa,2
bisa trending,2
bli bli,2
boneka boneka,2
bang chan,2
wow this,2
wrong if,2
ya ampun,2
yang bagian,2
ziggi zagga look,1
aang and,1
aang and fire,1
abis nonton chit,1
abis nonton lathi,1
abisseriusan suka,1
abisseriusan suka pake,1
abisss budayakan,1
abisss budayakan indonesia,1
about feel,1
about feel amazed,1
young and,1
you your music,1
you your,1
you want weird,1
you want,1
you vibrate the,1
you vibrate,1
you uppsss sorry,1
you uppsss,1
you tryna brought,1
you tryna,1
you sooner thanking,1
you sooner,1
ada akhlak jir,1
actuallyyy this music,1
actuallyyy this,1
banget krn mayan,1
banget krn,1
banget karyanya gue,1
banget karyanya,1
banget karena popularitas,1
banget karena,1
banget kalo udah,1
banget kalo,1
banget jarang musik,1
banget jarang,1
banget ini,1
banget gw gilasihhhh,1
banget gw,1
banget gitu dengerinnya,1
youtube eh,1
youre literally weired,1
banget garapannya,1
banget gamelan lebih,1
banget gamelan,1
banget di buat,1
banget di,1
banget deh,1
banget dan yang,1
banget dan,1
banget dah biasanya,1
banget dah,1
banget cuy indonesia,1
banget cuy,1
banget banyak musisi,1
banget banyak,1
banget masuk chart,1
banget masuk,1
banget sebagai,1
banget sampe keluar,1
banget sampe,1
banget sama suara,1
banget sama ni,1
banget sama lu,1
banget pesannya sangat,1
banget pesannya,1
banget nh lagu,1
banget nh,1
banget musik tradisional,1
banget musik,1
banget memadukan budaya,1
banget memadukan,1
banget gitu,1
banget garapannya diulang,1
banget yang,1
banget ya ampun,1
banget ya,1
banget tanpa plagiat,1
banget tanpa,1
banget sih kalau,1
banget sih ini,1
banget si top,1
banget si,1
banget setelah tau,1
banget setelah,1
banget semangat weird,1
banget semangat,1
banget sebulan sekali,1
banget sebulan,1
banget sebagai orang,1
bangga banget cuy,1
bangettt baru diawal,1
bangettt baru,1
bangett woy,1
bangett perpaduan jawa,1
bangett perpaduan,1
bangett keren salam,1
bangett keren,1
bangetsukses selalu,1
bangetnext level indonesian,1
bangetnext level,1
bangetkesini lagi garagara,1
bangetkesini lagi,1
banget yha tahun,1
banget yha,1
banget yang dislike,1
bangga saja rasanya,1
bangga saja,1
bangga punya wg,1
bangga punya,1
bangga jadi anak,1
bangga jadi,1
bangga indonesia,1
bangga gw,1
bangga dengan karakter,1
bangga dengan indonesia,1
bangga dan tak,1
bangga dan,1
bangga banget setelah,1
bangga banget sebagai,1
bangga banget sama,1
bangga banget gitu,1
bangsa bukan lele,1
bangsa bukan,1
bangsa bisa go,1
bangsa bisa,1
bangkit dan ingin,1
bangkit dan,1
bangganya budaya indonesia,1
bangganya budaya,1
bangga yang sama,1
bangga yang,1
bangga tenan aku,1
bangga tenan,1
bangga sendiri liatnya,1
bangga sendiri,1
bangga sama kksemoga,1
bangga sama,1
banyak org luar,1
banyak org,1
banyak orang yang,1
banyak orang,1
banyak musisi dunia,1
banyak musisi,1
banyak inter stay,1
banyak inter,1
banyak dapat like,1
banyak dapat,1
bangtrus berkarya bangbodo,1
bangtrus berkarya,1
bangsa sndiri kok,1
bangsa sndiri,1
bangsa lebih dari,1
bangsa lebih,1
baru karya,1
baru diawal saja,1
baru diawal,1
baru denger dan,1
baru denger,1
baru dengar seperti,1
baru dengar,1
baru bang arapw,1
baru bang,1
barat jadi kita,1
barat jadi,1
barat hayo,1
banyakin like biar,1
banyakin like,1
banyakan sih bilang,1
banyakan sih,1
bawah ayoo,1
bawa unsur kebudayaan,1
bawa unsur,1
battle scene mode,1
battle scene,1
battaass edm dengan,1
battaass edm,1
bat dibilang ngundang,1
bat dibilang,1
bass left the,1
bass left,1
baru sadar lagu,1
baru sadar ada,1
baru kemarin tulis,1
baru kemarin,1
baru karya anak,1
